Benny Snell,4500,PIT,FLEX,CIN,7.436,2.86,5.72
Nick O'Leary,2700,JAC,FLEX,TEN,8.15592,0.00408,4.08
Michael Walker,3000,JAC,FLEX,TEN,1.13943,0.00057,0.57
Dede Westbrook,4600,JAC,FLEX,TEN,22.16891,1.45279,11.09
Keelan Cole,3500,JAC,FLEX,TEN,10.15492,0.00508,5.08
Corey Davis,4300,TEN,FLEX,JAC,15.63218,1.3294,7.82
Khari Blasingame,3000,TEN,FLEX,JAC,0.97951,0.00049,0.49
Michael Gallup,5900,DAL,FLEX,NEP,23.50824,0.01176,11.76
Randall Cobb,4800,DAL,FLEX,NEP,19.27036,1.46528,9.64
Tavon Austin,3000,DAL,FLEX,NEP,3.31834,0.00166,1.66
Amari Cooper,6600,DAL,FLEX,NEP,27.3863,2.6715,13.7
Jamize Olawale,3000,DAL,FLEX,NEP,1.49925,0.00075,0.75
Ezekiel Elliott,7500,DAL,FLEX,NEP,27.91917,5.9508,16.53
Tony Pollard,4700,DAL,FLEX,NEP,8.13593,0.15466,4.07
Ventell Bryant,3000,DAL,FLEX,NEP,1.11944,0.00056,0.56
Jason Witten,3500,DAL,FLEX,NEP,16.35182,1.20246,8.18
Kalif Raymond,3000,TEN,FLEX,JAC,3.91804,0.00196,1.96
Tajae Sharpe,3000,TEN,FLEX,JAC,10.91454,0.00546,5.46
Adam Humphries,3900,TEN,FLEX,JAC,17.87106,1.39464,8.94
Ben Koyack,2500,JAC,FLEX,TEN,2.834,1.09,2.18
Blake Jarwin,2900,DAL,FLEX,NEP,4.53773,0.00227,2.27
Anthony Firkser,2800,TEN,FLEX,JAC,3.393,1.305,2.61
C.J. Uzomah,2500,CIN,FLEX,PIT,3.97801,0.00199,1.99
Tyler Eifert,3100,CIN,FLEX,PIT,13.09345,0.6681,6.55
Ty Montgomery,4000,NYJ,FLEX,OAK,3.5982,0.0018,1.8
Bilal Powell,3500,NYJ,FLEX,OAK,5.85707,0.3516,2.93
Le'Veon Bell,6400,NYJ,FLEX,OAK,27.30714,5.31658,16.46
Robby Anderson,4800,NYJ,FLEX,OAK,19.01049,1.50258,9.51
Demaryius Thomas,3800,NYJ,FLEX,OAK,19.07046,1.34514,9.54
